platform,id,title,owner,bounds,memoryUsage,label
windows,900928,ReactJS Crash Course - YouTube - Microsoft Edge,"{'processId': 33685, 'path': 'C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe', 'name': 'Microsoft Edge'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",295430785,distraction
windows,390897,Extreme Weather Documentary - YouTube - Opera GX Internet Browser,"{'processId': 18399, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",231238869,distraction
windows,855400,Rust Programming Tutorial - YouTube - Opera GX Internet Browser,"{'processId': 32636, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",310965753,distraction
windows,299826,Productivity Tips for Students - YouTube - Opera GX Internet Browser,"{'processId': 31879, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",415631450,distraction
windows,205692,Extreme Weather Documentary - YouTube - Microsoft Edge,"{'processId': 20397, 'path': 'C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe', 'name': 'Microsoft Edge'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",340936647,distraction
windows,553771,Productivity Tips for Students - YouTube - Opera GX Internet Browser,"{'processId': 32698, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",281159908,distraction
windows,407612,Productivity Tips for Students - YouTube - Google Chrome,"{'processId': 2074, 'path': 'C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe', 'name': 'Google Chrome'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",401424183,distraction
windows,494606,History of the Roman Empire - YouTube - Microsoft Edge,"{'processId': 13017, 'path': 'C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe', 'name': 'Microsoft Edge'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",276847294,work
windows,261090,The Science of Black Holes - YouTube - Opera GX Internet Browser,"{'processId': 4843, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",473007464,work
windows,361988,Funny Cat Compilation 34 - YouTube - Opera GX Internet Browser,"{'processId': 36281, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",381644234,distraction
windows,959523,Rust Programming Tutorial - YouTube - Mozilla Firefox,"{'processId': 5370, 'path': 'C:\\Program Files\\Mozilla Firefox\\firefox.exe', 'name': 'Mozilla Firefox'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",251182029,distraction
windows,608468,Best Budget Laptops 24 - YouTube - Microsoft Edge,"{'processId': 15554, 'path': 'C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe', 'name': 'Microsoft Edge'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",381990409,distraction
windows,757785,Rust Programming Tutorial - YouTube - Mozilla Firefox,"{'processId': 11669, 'path': 'C:\\Program Files\\Mozilla Firefox\\firefox.exe', 'name': 'Mozilla Firefox'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",303214043,distraction
windows,803156,Learn Python in 10 Minutes - YouTube - Opera GX Internet Browser,"{'processId': 27269, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",260764999,distraction
windows,904269,The Stranglers - Golden Brown - YouTube - Opera GX Internet Browser,"{'processId': 39289, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",462814698,distraction
windows,164141,LoFi Hip Hop Beats to Relax/Study To - YouTube - Google Chrome,"{'processId': 31893, 'path': 'C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe', 'name': 'Google Chrome'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",339379167,distraction
windows,913905,Chess Grandmaster Tricks - YouTube - Microsoft Edge,"{'processId': 14420, 'path': 'C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe', 'name': 'Microsoft Edge'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",448567943,distraction
windows,988963,Learn Python in 10 Minutes - YouTube - Mozilla Firefox,"{'processId': 3657, 'path': 'C:\\Program Files\\Mozilla Firefox\\firefox.exe', 'name': 'Mozilla Firefox'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",358364445,distraction
windows,455451,AI Will Change The World - YouTube - Microsoft Edge,"{'processId': 17573, 'path': 'C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe', 'name': 'Microsoft Edge'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",453556959,work
windows,865999,How to Cook the Perfect Steak - YouTube - Opera GX Internet Browser,"{'processId': 7073, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",299732998,distraction
windows,235088,Best Budget Laptops 35 - YouTube - Mozilla Firefox,"{'processId': 42495, 'path': 'C:\\Program Files\\Mozilla Firefox\\firefox.exe', 'name': 'Mozilla Firefox'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",270629048,distraction
windows,418114,Epic Minecraft Let's Play - Part 13 - YouTube - Opera GX Internet Browser,"{'processId': 9182, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",467624029,distraction
windows,729725,Productivity Tips for Students - YouTube - Microsoft Edge,"{'processId': 9544, 'path': 'C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe', 'name': 'Microsoft Edge'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",283074903,distraction
windows,204616,How to Cook the Perfect Steak - YouTube - Microsoft Edge,"{'processId': 25089, 'path': 'C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe', 'name': 'Microsoft Edge'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",259596536,distraction
windows,925445,Chess Grandmaster Tricks - YouTube - Mozilla Firefox,"{'processId': 12561, 'path': 'C:\\Program Files\\Mozilla Firefox\\firefox.exe', 'name': 'Mozilla Firefox'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",360009468,distraction
windows,630942,The Stranglers - Golden Brown - YouTube - Opera GX Internet Browser,"{'processId': 44418, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",239581916,distraction
windows,705354,Rust Programming Tutorial - YouTube - Opera GX Internet Browser,"{'processId': 27768, 'path': 'C:\\Users\\Marwan\\AppData\\Local\\Programs\\Opera GX\\opera.exe', 'name': 'Opera GX Internet Browser'}","{'x': -9, 'y': -9, 'width': 1938, 'height': 1038}",474400999,distraction
